Title,Conference,Type,Application,MLTech,OpenReviewLink
Composing Unbalanced Flows for Flexible Docking and Relaxation,ICLR_2025,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=gHLWTzKiZV
Conditional Diffusion with Ordinal Regression: Longitudinal Data Generation for Neurodegenerative Disease Studies,ICLR_2025,Poster,Healthcare,Diffusion_Model,https://openreview.net/forum?id=9UGfOJBuL8
Contextualizing biological perturbation experiments through language,ICLR_2025,Poster,Biology,Transformer,https://openreview.net/forum?id=5WEpbilssv
Continuous Ensemble Weather Forecasting with Diffusion models,ICLR_2025,Poster,Earth_Sciences,Diffusion_Model,https://openreview.net/forum?id=ePEZvQNFDW
CryoFM: A Flow-based Foundation Model for Cryo-EM Densities,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=T4sMzjy7fO
CryoGEN: Generative Energy-based Models for Cryogenic Electron Tomography Reconstruction,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=uOb7rij7sR
cryoSPHERE: Single-Particle HEterogeneous REconstruction from cryo EM,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=n8O0trhost
Curriculum-aware Training for Discriminating Molecular Property Prediction Models,ICLR_2025,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=6DHIkLv5i3
CViT: Continuous Vision Transformer for Operator Learning,ICLR_2025,Poster,Physics,Transformer,https://openreview.net/forum?id=cRnCcuLvyr
Data Center Cooling System Optimization Using Offline Reinforcement Learning,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=W8xukd70cU
Data Distillation for extrapolative protein design through exact preference optimization,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=
