Title,Conference,Type,Application,MLTech,OpenReviewLink
PROSPECT PTMs: Rich Labeled Tandem Mass Spectrometry Dataset of Modified Peptides for Machine Learning in Proteomics,NeurIPS_2024,Poster,Biology,,https://openreview.net/forum?id=iDg6ktCf6W
ProSST: Protein Language Modeling with Quantized Structure and Disentangled Attention,NeurIPS_2024,Poster,Biology,transformer,https://openreview.net/forum?id=4Z7RZixpJQ
Protein-Nucleic Acid Complex Modeling with Frame Averaging Transformer,NeurIPS_2024,Poster,Biology,transformer,https://openreview.net/forum?id=Xngi3Z3wkN
ProtGO: Function-Guided Protein Modeling for Unified Representation Learning,NeurIPS_2024,Poster,Biology,graph_neural_network,https://openreview.net/forum?id=0oUutV92YF
Proving Theorems Recursively,NeurIPS_2024,Poster,Math,transformer,https://openreview.net/forum?id=yAa5l92TtQ
Quadratic Quantum Variational Monte Carlo,NeurIPS_2024,Poster,Physics,variational_quantum_algorithm,https://openreview.net/forum?id=lDtABI541U
R$^2$-Gaussian: Rectifying Radiative Gaussian Splatting for Tomographic Reconstruction,NeurIPS_2024,Poster,Medical_healthcare,neural_network,https://openreview.net/forum?id=fMWrTAe5Iy
Randomized Sparse Matrix Compression for Large-Scale Constrained Optimization in Cancer Radiotherapy,NeurIPS_2024,Poster,Medical_healthcare,neural_network,https://openreview.net/forum?id=ItzD2Cnu9y
ReactZyme: A Benchmark for Enzyme-Reaction Prediction,NeurIPS_2024,Poster,Chemistry,transformer,https://openreview.net/forum?id=xepxnDQoGq
realSEUDO for real-time calcium imaging analysis,NeurIPS_2024,Poster,Multidisciplinary,neural_network,https://openreview.net/forum?id=Ye0O4Nyn21
Re-assembling the past: The RePAIR dataset and benchmark for real world 2D and 3D puzzle solving,NeurIPS_2024,Poster,Multidisciplinary,,https://openreview.net/forum?id=fgJ9OvJPZB
Recurrent neural network dynamical systems for biological vision,NeurIPS_2024,Poster,Neuroscience,recurrent_neural_network,https://openreview.net/forum?id=ZZ94aLbMOK
ReMAP: Neural Model Reprogramming with Network Inversion and Retrieval-Augmented Mapping for Adaptive Motion Forecasting,NeurIPS_2024,Poster,Medical_healthcare,neural_network,https://openreview.net/forum?id=dVqZ0a7LdP
RandNet-Parareal: a time-parallel PDE solver using Random Neural Networks,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=974ojuN0jU
